TITOLI;001;002;002;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;OBBL.CONVERTIBILI;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;003;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;OBBL. CUM. WARRANT;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;004;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;OBBL.CONV. E WARRANT;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;005;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;TITL.DI STATO ESTERI;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;006;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;ZERO COUPON;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;007;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;MANTELLO STRIPPATO;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;008;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;CEDOLE STRIPPATE;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;009;OBBLIGAZIONI;OBBL.DOMEST. ESTERO;ZERO COUPON CONVERTI;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;010;OBBLIGAZIONI;OBBL.DOMEST.ESTERO;CAMB.FINANZIARIE;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;011;OBBLIGAZIONI;OBBL.ESTERE EMIS.ITA;OBBL. ORDINARIE;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;012;OBBLIGAZIONI;OBBL.ESTERE EMIS.ITA;OBBL.CONVERTIBILI;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
TITOLI;001;002;013;OBBLIGAZIONI;OBBL.ESTERE EMIS.ITA;OBBL. CUM WARRANT;BND;AMM;OBBLIGAZIONI;ALTOBB;ALTRE OBBLIGAZIONI
